,Place Name,Place ID,Latitude,Longitude,Rating,Types,Vicinity,Formatted address,User Ratings Total
9123,Gino Fontains Pizza Restaurant,ChIJFXYpTAc81moRrEi1zDvf6Fw,-37.8479078,145.231686,4.3,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","8 The Mall, Wantirna",,66
9124,Italian Touch Cafe Restaurant,ChIJu4kH9lhq1moRBd4UlL5ySY4,-37.900524,145.091725,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']","70 Portman St, Oakleigh",,97
9125,Peppercorn Park,ChIJX0Xg1_8Q1moRdkH0wQlM04E,-38.0452947,145.2701314,3.9,"['park', 'point_of_interest', 'establishment']","Horizon Blvd, Hampton Park",,16
9126,Oakwood Park,ChIJs1sWoUIU1moRKXVbbihH2ls,-37.9652251,145.1939141,4.4,"['park', 'point_of_interest', 'establishment']",Noble Park North,,36
9127,Sabina Park,ChIJTwbEf6MV1moRWiUHR_6s5SE,-37.9313959,145.1901313,4.8,"['park', 'point_of_interest', 'establishment']","28 Ellis Park Ave, Mulgrave",,5
9128,Namatjira Reserve,ChIJFRZBJBRr1moRoKIxBXZWBA8,-37.9331053,145.1099771,4.5,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",Clayton South,,385
9129,Jells Park,ChIJC2vSYD0-1moRsoggvEohGIE,-37.89649240000001,145.1960311,4.6,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","Jells Rd, Wheelers Hill",,2346
9130,Talbot Park,ChIJ5Zg3HBBr1moRd8EbVps58Lk,-37.9259129,145.1042217,4.3,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",Oakleigh South,,80
9131,Bald Hill Park,ChIJXTOUeRJr1moRkKIxBXZWBA8,-37.932535,145.10517,4.4,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",Clarinda,,223
9132,Dandenong Park,ChIJ2cDP7wcU1moRdpi0r8tKWmQ,-37.9918896,145.2166892,4.2,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","174 Lonsdale St, Dandenong",,413
9133,Spring Valley Park,ChIJp2RewFYT1moR0KcxBXZWBA8,-37.970932,145.1433563,4.4,"['park', 'point_of_interest', 'establishment']","81-143 Clarke Rd, Springvale South",,76
9134,"Lions Park, Noble Park",ChIJJ7XjovAU1moRmT0_AbMsWJ0,-37.9501886,145.1750011,3.8,"['park', 'point_of_interest', 'establishment']","3-, Unit 3/5 Racecourse Rd, Noble Park",,10
9135,Hemmings Park,ChIJrWRc5A0U1moRcKkxBXZWBA8,-37.9810722,145.208315,4.1,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",Dandenong,,257
9136,Banjo Paterson Park,ChIJ5TAxK7wR1moRQ5aG6QCK0o0,-38.05440919999999,145.2508108,4.5,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","Paterson Dr, Lynbrook",,369
9137,K M Reedy Reserve,ChIJOwzoeRUR1moR4D0xBXZWBA8,-38.0246211,145.2497802,4.2,"['park', 'point_of_interest', 'establishment']","11 Pound Rd, Hampton Park",,142
9138,Victory Park,ChIJN-bx9upy1moRAD-7TSGiHQU,-38.05244,145.113677,4.3,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","8-12 Camp St, Chelsea",,112
9139,Karkarook Park,ChIJF1eS04Vr1moRwKQxBXZWBA8,-37.9435537,145.0817679,4.5,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","Warrigal Rd, Heatherton",,967
9140,Mentone Racecourse Reserve,ChIJ819WOkxs1moREKkxBXZWBA8,-37.97867859999999,145.0786278,4.6,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","40-50 Glenelg Dr, Mentone",,283
9141,Tower Hill Park,ChIJLSyN-q4R1moRIF8yBXZWBA8,-38.051161,145.2617747,4.1,"['park', 'point_of_interest', 'establishment']",Lynbrook,,12
9142,Braeside Park,ChIJc8EfK9Zs1moR8KoxBXZWBA8,-37.9909881,145.1256931,4.5,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","Lower Dandenong Rd, Braeside",,707
9143,Burden Park,ChIJ20cFXKQU1moRMKcxBXZWBA8,-37.9634637,145.1521075,4.5,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","Springvale Rd & Heatherton Road, Springvale South",,491
9144,Tirhatuan Park,ChIJg5XBw9kV1moRUKQxBXZWBA8,-37.9458566,145.2225463,4.6,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","4 Kriegel Way, Dandenong North",,524
9145,Murrumbeena Park No 2,ChIJkV5SbUhq1moRfCd9P9kyUYI,-37.8970943,145.0727808,4.5,"['park', 'point_of_interest', 'establishment']",Murrumbeena,,64
9146,Knox Park,ChIJG4K_EOg91moRHYmJ4f7AvVg,-37.8965606,145.2586455,5.0,"['park', 'point_of_interest', 'establishment']",Knoxfield,,1
9147,Heatherton Park,ChIJRdFuKFFr1moRIDsxBXZWBA8,-37.9568306,145.1322353,4.3,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","Heatherton Rd, Clayton South",,84
9148,Brandon Park Reserve,ChIJcbfgemEV1moRgJwxBXZWBA8,-37.90255399999999,145.1648512,4.0,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","645 Ferntree Gully Rd, Glen Waverley",,71
9149,Warrawee Park Oval,ChIJBZp3uV5q1moRQJsxBXZWBA8,-37.8961777,145.0882785,4.3,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","1 Atherton Rd, Oakleigh",,138
9150,Dales Park,ChIJvV-ti5Br1moR0KIxBXZWBA8,-37.9341161,145.081385,4.2,"['park', 'point_of_interest', 'establishment']",Oakleigh South,,40
9151,Robert Booth Reserve,ChIJu3-YqBAR1moR8LAxBXZWBA8,-38.0301457,145.2587253,4.0,"['park', 'point_of_interest', 'establishment']",Hampton Park,,44
9152,Lum Reserve,ChIJkTo69HkV1moRoJ4xBXZWBA8,-37.9114138,145.178361,4.3,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","231-259 Lum Rd, Wheelers Hill",,105
9153,Frog Hollow Reserve,ChIJ9XVTxx4X1moR0KoxBXZWBA8,-37.98999999999999,145.2744444,4.4,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",Endeavour Hills,,305
9154,Jock Marshall Reserve,ChIJPfgDhEoV1moR4J0xBXZWBA8,-37.9097724,145.1396539,4.7,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",Notting Hill,,34
9155,Carrington Park,ChIJo4gS0sg91moRIJsxBXZWBA8,-37.8961474,145.2431847,4.0,"['park', 'point_of_interest', 'establishment']",Knoxfield,,411
9156,Chelsea Park,ChIJO1tUzepy1moRrlxWgEG_7s8,-38.0502268,145.1134589,4.7,"['park', 'point_of_interest', 'establishment']","3 Showers Ave, Chelsea",,11
9157,Meade Reserve,ChIJA6X9PCBr1moRE_aSojVcXP4,-37.922576,145.1160482,4.1,"['park', 'point_of_interest', 'establishment']","356 Haughton Rd, Clayton",,88
9158,Tall Slide Park,ChIJt6ksC7QV1moR6bgw-Rx-mdo,-37.944779,145.1985,4.0,"['park', 'point_of_interest', 'establishment']","129-137 Bakers Rd, Dandenong North",,22
9159,Freeway Reserve,ChIJfRWK4mwV1moRsJ8xBXZWBA8,-37.9177739,145.1686291,4.1,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",Mulgrave,,188
9160,Le Page Park,ChIJHbvZOo5t1moRDybUHiirJDM,-37.95898630000001,145.0704665,4.7,"['park', 'point_of_interest', 'establishment']","79A Argus St, Cheltenham",,27
9161,The Grange Reserve,ChIJcUTyKEpr1moRoF0yBXZWBA8,-37.9461479,145.1321259,4.3,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","136-176 Osborne Ave, Clayton South",,177
9162,Southern Reserve,ChIJ54-FjgYV1moRihciWwmxfhE,-37.9347461,145.1772148,4.4,"['park', 'point_of_interest', 'establishment']","161-181 Police Rd, Mulgrave",,99
9163,Scott Park,ChIJlTZd7wcR1moRd-70qq38mws,-38.042828,145.259803,3.3,"['park', 'point_of_interest', 'establishment']","24/30 Short Rd, Hampton Park",,9
9164,Dandenong Creek Trail,ChIJF65p-twT1moRJW7JcpBdG6Y,-38.0005055,145.1941112,4.8,"['park', 'point_of_interest', 'establishment']","Dandenong Creek Trail, Dandenong South",,6
9165,Livvi's Place Casey,ChIJpYTo7t0R1moRX7TvOBF32js,-38.0721443,145.2486896,4.5,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","Boland Dr, Lyndhurst",,185
9166,Tatterson Park,ChIJf-eHAD0T1moR8F4yBXZWBA8,-37.9979763,145.1555195,4.4,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","62 Chapel Rd, Keysborough",,470
9167,Attenborough Park,ChIJyyoPBZxt1moREN6Jy1SUl-k,-38.00960389999999,145.0884724,4.5,"['park', 'point_of_interest', 'establishment']",Aspendale,,4
9168,Redleaf Park - Leash free,ChIJI3pDyYA_1moRldWN7g_Bom0,-37.9016736,145.1835996,4.5,"['park', 'point_of_interest', 'establishment']",Wheelers Hill,,4
9169,Axis Park,ChIJM1RqxqIV1moRxVNca2DO49A,-37.9284906,145.1916908,5.0,"['park', 'point_of_interest', 'establishment']","1B Queensberry Cct, Mulgrave",,3
9170,Dog Park,ChIJmU_j4Qpt1moRc2uTUcpmHl4,-38.0056516,145.0961884,4.6,"['park', 'point_of_interest', 'establishment']","Kevin Hayes Reserve, Crown Ave, Mordialloc",,136
9171,Portland Reserve,ChIJwYm8HAoV1moRDJPJPpaMx9E,-37.9358338,145.2052312,4.5,"['park', 'point_of_interest', 'establishment']","Portland St, Mulgrave",,2
9172,Heany Park,ChIJ8VfzTTsW1moRgEkyBXZWBA8,-37.9394239,145.2545809,4.8,"['park', 'point_of_interest', 'establishment']",Rowville,,11
9173,Argyle Reserve,ChIJuQCTOEtq1moRNeK-OtKoVJM,-37.905946,145.0754503,4.2,"['park', 'point_of_interest', 'establishment']","Kinrade St, Hughesdale",,47
9174,Churchill National Park,ChIJhbi1W_QW1moRn5GoUy5Px5s,-37.969117,145.251221,3.5,"['park', 'point_of_interest', 'establishment']","8 Redhill Ct, Endeavour Hills",,13
9175,Essex Park Conservation Reserve,ChIJjVTwoY8W1moRD40TG6zRJbI,-37.9669813,145.2365563,4.2,"['park', 'point_of_interest', 'establishment']","Essex Park Dr, Endeavour Hills",,17
9176,Knox Dog Play Park,ChIJe0ZRb0081moRA5rXPtax1XA,-37.8966644,145.2582825,4.2,"['park', 'point_of_interest', 'establishment']","1672 Ferntree Gully Rd, Knoxfield",,456
9177,Lysterfield Park,ChIJvc2NkuMX1moRAD0xBXZWBA8,-37.9656037,145.300577,4.6,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']","Horswood Rd, Lysterfield",,2405
9178,Alex Wilkie Nature Reserve,ChIJ43ENElkT1moR8OsxBXZWBA8,-37.9732083,145.1539725,4.4,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",Springvale South,,30
9179,Brickmakers Park,ChIJG_7km4xq1moRMO0xBXZWBA8,-37.8946539,145.0993093,4.2,"['park', 'point_of_interest', 'establishment']",Oakleigh,,141
9180,Max Pawsey Reserve,ChIJOVMH9EwX1moREK8xBXZWBA8,-38.0182369,145.2970708,4.1,"['park', 'point_of_interest', 'establishment']",Narre Warren,,46
9181,Ferny Creek Trail,ChIJDb6LoWo91moRlD00AM-i0FQ,-37.900218,145.2575257,5.0,"['park', 'point_of_interest', 'establishment']","Unnamed Road, Knoxfield",,1
9182,Peter Scullin Reserve,ChIJhWVGEJpt1moRgO4xBXZWBA8,-38.0084315,145.0845634,4.3,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",Mordialloc,,419
9183,Walking Track,ChIJl-1gXABr1moRA_opAbJKaaM,-37.9370225,145.1082486,4.0,"['park', 'point_of_interest', 'establishment']","77 Springs Rd, Clayton South",,6
9184,Roxy Dog Park,ChIJOZgemk9s1moRyi5Jc_XnWdY,-37.9745612,145.080284,4.2,"['park', 'point_of_interest', 'establishment']","5A Snowdon Dr, Cheltenham",,11
9185,Maryams Café,ChIJ8Uap6DIV1moRueZSD5AxBlA,-37.9172267,145.1392818,4.7,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","41 Morton St, Clayton",,172
9186,Main Street Cafe,ChIJyxeBI5lt1moRiyhb1xdEp8o,-38.0067228,145.0869467,4.2,"['cafe', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","503-505 Main St, Mordialloc",,803
9187,Hendriks Cafe,ChIJYTA_UQht1moRhLtPzKeXI2k,-37.9995879,145.0959077,4.3,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","105/107 White St, Mordialloc",,526
9188,CAFE ILLI,ChIJE4aA3zEV1moRbRvEatkdjN8,-37.92077099999999,145.144642,4.4,"['cafe', 'food', 'point_of_interest', 'establishment']","18-20 Sarton Rd, Clayton",,19
9189,cafe keys,ChIJDRLA96kT1moRPDfhpyIkdqw,-38.0128541,145.1825214,4.1,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",Keysborough,,128
9190,Kitchen Bar Cafe,ChIJqUSQKjsV1moRlXrXEotkMJE,-37.922962,145.15143,4.3,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","9-11 Miles St, Mulgrave",,68
9191,Cafe 1,ChIJJxRiMOFVzioRM_g8qs596T4,-38.010375,145.108508,4.6,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","1 Graham Daff Blvd, Braeside",,40
9192,Cafe Numero Due,ChIJoVAGumYV1moRKglguoKVUDo,-37.9045861,145.1638417,4.3,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","2 Brandon Park Dr, Wheelers Hill",,88
9193,Cafe Twist,ChIJ62UYP-QT1moRxRBCk8dgt8w,-38.0050408,145.2180567,4.2,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","55-67 Frankston - Dandenong Rd, Dandenong South",,36
9194,Lunch Hour Cafe,ChIJ3exCETlr1moRnnaQJGaD_ag,-37.9386177,145.1229248,3.9,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","65-69 Whiteside Rd, Clayton South",,26
9195,Cafe Angelique,ChIJawBF3bMV1moRslKKjFSAmGA,-37.9284891,145.222192,4.3,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","Home of the best Banh Mi, speciality coffee and excellent catering. Easy for trucks and semi-trailers - there is a truck turn around at the end of the road, U3/4 Viewtech Pl, Rowville",,30
9196,Ambrosia Cafe,ChIJ4zZVP_tq1moRmcrMD9jQUWQ,-37.9103248,145.1034684,4.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","313 Huntingdale Rd, Oakleigh",,65
9197,Cafe Opera,ChIJGbYBMsBy1moR8FBzQa2suaw,-38.0531745,145.1161186,4.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","419 Nepean Hwy, Chelsea",,99
9198,Match & Co Cafe,ChIJ4w_fQcps1moRpyD3VQAsA8w,-37.9835743,145.1337438,4.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","Shop 13/14 109/79 Centre Dandenong Rd, Dingley Village",,436
9199,Siesta Cafe & Deli.,ChIJ3UkyRplt1moR0Q7nT51JSFs,-38.007852,145.086937,4.3,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","7/600 Main St, Mordialloc",,131
9200,Gardenworld Licenced Cafe,ChIJJXaeQioT1moRzPix7_OSVDg,-38.003556,145.141307,4.1,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","810 Springvale Rd, Braeside",,325
9201,Tailor Made Cafe,ChIJWzjI7RwV1moRfsm_ZdqgHGc,-37.9348305,145.1687472,4.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","118 Police Rd, Springvale",,42
9202,Cafe Platz,ChIJdxJnK10S1moR16JzlrRceIE,-38.0386384,145.1922522,4.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","56-58 Letcon Dr, Bangholme",,47
9203,Poncho,ChIJM5VAerdr1moRLIchvomU1Ek,-37.915302,145.074485,4.3,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","81 Mackie Rd, Bentleigh East",,139
9204,Beletti Restaurant Cafe Bar,ChIJSQKFBggU1moRy2df9TwpRV4,-37.9904375,145.2142831,4.3,"['meal_takeaway', 'cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","159/161 Lonsdale St, Dandenong",,606
9205,Cafe Transylvania,ChIJwX_2NNQW1moRvH6I_7wU0dY,-38.005075,145.267198,4.8,"['bakery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","4 Spring Square, Hallam",,289
9206,Cafe 4ft 11,ChIJPwvtS8Jy1moRz5kWsI0Pk-c,-38.0578301,145.1180034,4.8,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","1/483 Nepean Hwy, Chelsea",,89
9207,Rustic Bakery Cafe,ChIJXen4Aplt1moRYdZaNLxRjH4,-38.0059197,145.0854224,4.7,"['cafe', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","5/540 Main St, Mordialloc",,35
9208,Onx Cafe & Catering,ChIJHdL_fRpt1moRE2qsNuut9A8,-38.000787,145.107527,4.7,"['cafe', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']","12/20-30 Malcolm Rd, Braeside",,43
9209,MGM Cafe,ChIJaRn_KuoT1moRxKt4q8wejbI,-38.0059532,145.2090943,4.6,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","121a Rodeo Dr, Dandenong South",,29
9210,Keypoint Cafe,ChIJhRPPYYQT1moREX7SVsbKARg,-37.98905329999999,145.1885691,4.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","52 Cambria Rd, Keysborough",,15
9211,Cloud Café,ChIJk5kWtwUU1moRArYH3H9_ZGY,-37.986956,145.2167987,4.1,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","McCrae St, Dandenong",,35
9212,Choix Creperie Cafe,ChIJQWRsH05d1moRZApy8zlmdYw,-37.9269201,145.1188873,4.7,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","Unit 9/371-373 Clayton Rd, Clayton",,123
9213,Chayō Japanese Café,ChIJIT-tZiFr1moR4LS8cbhUQSs,-37.925942,145.1193433,4.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","351 Clayton Rd, Clayton",,317
9214,Cafe @ 105,ChIJSwflehQR1moRaBVw6ZKiB8s,-38.0094415,145.2304846,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']","105 S Gippsland Hwy, Dandenong South",,18
9215,The Goodwill Cafe,ChIJv84ibQcX1moRKTOVtP_8AxU,-37.9764195,145.2762579,4.6,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","57A Heatherton Rd, Endeavour Hills",,82
9216,Arbor Cafe,ChIJVVWVZkIV1moReKvWpFG7LZU,-37.9093125,145.1587583,4.5,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","1 Nexus Ct, Mulgrave",,73
9217,Tour De Cafe,ChIJie_ztptt1moRv46SkR-cU-U,-38.0095004,145.0856363,4.1,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","Pier Rd, Mordialloc",,211
9218,Podium Cafe,ChIJv80JGD4V1moRGIepni-h0vo,-37.9194909,145.1592334,3.8,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","690 Springvale Rd, Mulgrave",,22
9219,Cafe Dinicious,ChIJtzN6Tdk91moRsLr1h2KRDNU,-37.8982586,145.230721,4.3,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","13 Darryl St, Scoresby",,100
9220,Walker Street Cafe and Eatery,ChIJrYG6VQgU1moRJXl3OTljuyU,-37.9881225,145.2123036,4.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","43 Walker St, Dandenong",,6
9221,Kitchen Road Cafe,ChIJc10xU9YT1moRe2ljQcnscOc,-38.0246916,145.2236738,4.1,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","8/17 Kitchen Rd, Dandenong South",,32
9222,Half/Half Café,ChIJN9gzo8g91moRTm8fRcRMZC4,-37.8997449,145.2430481,4.8,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","89/1470 Ferntree Gully Rd, Knoxfield",,28
9223,Pi Cafe,ChIJF65QLDkV1moRJ_T9PPijJS4,-37.91731,145.153944,3.8,"['cafe', 'meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","1-3 Compark Cct, Mulgrave",,80
9224,3 Sons Cafe,ChIJmaF4jTcT1moR_jM9MHAK-0Y,-37.9958401,145.1834833,4.6,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","23/2-22 Kirkham Rd W, Keysborough",,59
9225,YOLO COFFEE CAFE,ChIJjdHMd8cU1moR9_atxmnpVDM,-37.9503589,145.1514363,4.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","29D Buckingham Ave, Springvale",,44
9226,Volume Cafe Dandenong,ChIJzZ1GbBkU1moRYwt05KfFk-I,-37.9774353,145.2185397,4.3,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","108 David St, Dandenong",,69
9227,Froth & Grind Cafe,ChIJPcN_f4o91moRD0B9gcBkONg,-37.928524,145.2509478,4.4,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","Wellington Village Shopping Centre, Shop 22, 1100 Wellington Road, Rowville",,125
9228,Black Salt Cafe,ChIJe8imrL9r1moRj-_x7Ab6-Sc,-37.9228496,145.07405,4.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","1/947 Centre Rd, Bentleigh East",,191
9229,Mr Grumpy's Cafe,ChIJR8a4GCEV1moRGEgr2u9VYkI,-37.9311343,145.1555995,4.7,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","899 Springvale Rd, Mulgrave",,178
9230,Humble Creatures,ChIJuRXNu-xr1moRyfZpeT-cu5s,-37.9291667,145.0705556,4.8,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","4 Matthews Rd, Bentleigh East",,223
9231,Iconic Culture,ChIJFzsY23Fr1moR6LTS3kZRVbw,-37.9412573,145.1038844,4.8,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","126 Bourke Rd, Clarinda",,54
9232,Centre Warehouse Cafe,ChIJF7VkACoV1moRsq_G7eK8zJ0,-37.9312094,145.1432191,4.6,"['cafe', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","Unit 15D/2 Westall Rd, Clayton South",,32
9233,Parkers Cafe,ChIJZ2xRYblt1moR-2Pe8AVfy6E,-37.9943237,145.0765228,4.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","79 Parkers Rd, Parkdale",,297
9234,Choco Bean Cafe,ChIJ5QW4pJc91moR4RNTplYMJB0,-37.91367109999999,145.2570113,4.1,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","Rowville Lakes Shopping Centre, 11/150 Kelletts Rd, Rowville",,59
9235,Little Collins Cafe,ChIJyRArT7Jq1moRlyG9fDIMV-4,-37.9006515,145.1347233,4.3,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","296 Ferntree Gully Rd, Notting Hill",,178
9236,THE Boulevarde Cafe,ChIJmSoxbzgT1moRKQRpNKizQQs,-37.98899,145.150582,4.7,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","24 Fiveways Boulevarde, Keysborough",,25
9237,"Cafe E, Parkmore Shopping Centre",ChIJC7Xg_HIT1moRSb0eJbJPRAE,-37.9924047,145.1725285,4.7,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","Kiosk 23, Parkmore SC, 317 Cheltenham Road, Keysborough",,10
9238,Saporo Café,ChIJJdha1M5q1moR_ZKzie27_gQ,-37.9078196,145.1323855,4.3,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","20 Research Way, Clayton",,177
9239,Euro Cafe & Bakehouse,ChIJy51NnSkX1moRghMUQUp8eOI,-38.0047819,145.2728039,4.6,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","Unit 5 B/1-7 Belgrave-Hallam Rd, Hallam",,108
9240,Colonial Cafe,ChIJP4DEXEMS1moRFV0Up1RzHr8,-38.0360476,145.1939635,4.2,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","101 Licola Cres, Dandenong South",,34
9241,Cafe Taste,ChIJGdPI7N4T1moRkPywcBLu4gY,-38.01355400000001,145.22193,4.6,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']","25 Williams Rd, Dandenong South",,9
9242,Khmer Kitchen,ChIJlb7xqxNt1moRniALpLjF9es,-38.008329,145.1074011,4.7,"['cafe', 'food', 'point_of_interest', 'establishment']","1/226 Governor Rd, Braeside",,81
9243,Miss Mavis Cafe,ChIJHeP42XBs1moReOKrHUDAKQ0,-37.9508742,145.0802649,4.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","20 Corporate Dr, Moorabbin",,82
9244,Café Vita et flores - Springvale,ChIJeUQe4_sU1moRJPSEBG09FnU,-37.9451284,145.1755035,4.3,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","600 Princes Hwy, Springvale",,163
9245,Shahkar Restaurant,ChIJ63ogdNAV1moRQANbCPm10cA,-37.9885742,145.2158013,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","22 Langhorne St, Dandenong",,16
9246,Dumpling Noodles Restaurant,ChIJk-DqctZr1moRaUtrILlx2Hw,-37.917887,145.082626,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']","93A Orange St, Bentleigh East",,17
9247,Thanadee Thai Restaurant,ChIJxcQe3WZr1moR8qZA0pGhMNg,-37.900219,145.089199,4.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","20 Portman St, Oakleigh",,22
9248,Eton Restaurant,ChIJL8kaRv5r1moRxqIXsdRnNFc,-37.9294699,145.1284228,4.9,"['restaurant', 'food', 'point_of_interest', 'establishment']","1459A Centre Rd, Clayton",,35
9249,Delhi Egg House Indian Restaurant,ChIJ77u3SJht1moR0OsU8ZTkues,-37.9834993,145.1319114,4.8,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","4/128 Centre Dandenong Rd, Dingley Village",,161
9250,Asiana Kitchen,ChIJycmNWKER1moRvBCvsUPLeRo,-38.0460153,145.2535942,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']","15 8/2 Northey Rd, Lynbrook",,245
9251,Sette Bello Restaurant,ChIJT1BNzGAV1moR1cGig8NKV28,-37.9021194,145.1626667,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']","540 Springvale Rd, Glen Waverley",,808
9252,Restaurant 323,ChIJmcgzaMcU1moR5MwK9q9IOvg,-37.950847,145.152928,4.5,"['meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']","323 Springvale Rd, Springvale",,178
